Family Kōen-mae Station	ファミリー公園前駅（ふぁみりーこうえんまえ）
Fushiki Station	伏木駅（ふしき）
Fushimi Station (Aichi)	伏見駅 (愛知県)（ふしみ）
Fushimi Station (Kyoto)	伏見駅 (京都府)（ふしみ）
Fushimi-Inari Station	伏見稲荷駅（ふしみいなり）
Fushimi-Momoyama Station	伏見桃山駅（ふしみももやま）
Fushiya Station	伏屋駅（ふしや）
Fusō Station	扶桑駅（ふそう）
Fussa Station	福生駅(ふっさ)
Futaba Station	双葉駅（ふたば）
Futada Station	二田駅（ふただ）
Futagawa Station	二川駅（ふたがわ）
Futago Station	二子駅（ふたご）
Futaiwa Station	双岩駅（ふたいわ）
Futajima Station	二島駅（ふたじま）
Futako-Shinchi Station	二子新地駅（ふたこしんち）
Futako-Tamagawa Station	二子玉川駅（ふたこたまがわ）
Futamata Station (Hokkaido)	二股駅（ふたまた）
Futamata Station (Kyoto)	二俣駅（ふたまた）
Futamatagawa Station	二俣川駅（ふたまたがわ）
Futamata-Hommachi Station	二俣本町駅（ふたまたほんまち）
Futamatao Station	二俣尾駅（ふたまたお）
Futamata-Shimmachi Station	二俣新町駅（ふたまたしんまち）
Futaminoura Station	二見浦駅（ふたみのうら）
Futana Station	二名駅（ふたな）
Futatsui Station	二ツ井駅（ふたつい）
Futatsuiri Station	二ツ杁駅（ふたついり）
Futatsuka Station	二塚駅（ふたつか）
Futawa-Mukōdai Station	二和向台駅（ふたわむこうだい）
Futo Station	富戸駅（ふと）
Futomi Station	太海駅（ふとみ）
Futsukaichi Station	二日市駅（ふつかいち）
Fuwa-Ishiki Station	不破一色駅（ふわいしき）
Fuya Station	府屋駅（ふや）
Fuzokuchūgakumae Station	附属中学前駅（ふぞくちゅうがくまえ）
