Kabaike Station	蒲池駅 (愛知県)（かばいけ）
Kani Station	可児駅（かに）
Kanie Station	蟹江駅（かにえ）
Kanigawa Station	可児川駅（かにがわ）
Kanisawa Station	蟹沢駅（かにさわ）
Kanita Station	蟹田駅（かにた）
Kanjōdōri-higashi Station	環状通東駅（かんじょうどおりひがし）
Kankanzaka Station	韓々坂駅（かんかんざか）
Kanmata Station	神俣駅（かんまた）
Kanmonkaikyō Mekari Station	関門海峡めかり駅（かんもんかいきょうめかり）
Kannabe Station	神辺駅（かんなべ）
Kannai Station	関内駅（かんない）
Kannami Station	函南駅（かんなみ）
Kanno Station	神野駅（かんの）
Kannon Station	観音駅（かんのん）
Kannonji Station	観音寺駅 (愛知県)（かんのんじ）
Kannonmachi Station	観音町駅 (福井県)（かんのんまち）
Kannoura Station	甲浦駅（かんのうら）
Kanō Station (Gifu)	加納駅 (岐阜県)（かのう）
Kanō Station (Miyazaki)	加納駅 (宮崎県)（かのう）
Kanohara Station	神農原駅（かのはら）
Kanomata Station	鹿又駅（かのまた）
Kanon-machi Station	観音町駅 (広島県)（かんおんまち）
Kanose Station	鹿瀬駅（かのせ）
Kansai Airport Station	関西空港駅（かんさいくうこう）
Kantakunosato Station	干拓の里駅（かんたくのさと）
Kanuma Station	鹿沼駅（かぬま）
Kanyūsha-Hikosan Station	歓遊舎ひこさん駅（かんゆうしゃひこさん）
Kanzaki Station (Saga)	神埼駅（かんざき）
Kanzaki Station (Kagawa)	神前駅 (香川県)（かんざき）
Kanzakigawa Station	神崎川駅（かんざきがわ）
Kanzō Station	閑蔵駅（かんぞう）
Karahashimae Station	唐橋前駅（からはしまえ）
Karakasa Station	唐笠駅（からかさ）
Karakawa Station	辛皮駅（からかわ）
Karakida Station	唐木田駅（からきだ）
Karasaki Station	唐崎駅（からさき）
Karashimachō Station	辛島町駅（からしまちょう）
Karasue Station	烏江駅（からすえ）
Karasuma Station	烏丸駅（からすま）
Karasuma-Oike Station	烏丸御池駅（からすまおいけ）
Karasuyama Station	烏山駅（からすやま）
Karatodai Station	唐櫃台駅（からとだい）
Karatsu Station	唐津駅（からつ）
Kareigawa Station	嘉例川駅（かれいがわ）
Karibasawa Station	狩場沢駅（かりばさわ）
Karikawa Station	狩川駅（かりかわ）
Kariu Station	狩生駅（かりう）
Kariwa Station	刈羽駅（かりわ）
Kariwano Station	刈和野駅（かりわの）
Kariya Station	刈谷駅（かりや）
Kariyadomae Station	借宿前駅（かりやどまえ）
Kariyashi Station	刈谷市駅（かりやし）
Kariyasuka Station	苅安賀駅（かりやすか）
Karuga Station	狩留家駅（かるが）
Karugahama Station	かるが浜駅（かるがはま）
Karuizawa Station	軽井沢駅（かるいざわ）
Karumo Station	苅藻駅（かるも）
Kasadera Station	笠寺駅（かさでら）
Kasado Station	加佐登駅（かさど）
Kasagami-Kurohae Station	笠上黒生駅（かさがみくろはえ）
Kasagi Station	笠置駅（かさぎ）
Kasahata Station	笠幡駅（かさはた）
Kasai Station	葛西駅（かさい）
Kasai-rinkai-kōen Station	葛西臨海公園駅（かさいりんかいこうえん）
Kasama Station	笠間駅（かさま）
Kasamatsu Station (Gifu)	笠松駅（かさまつ）
Kasamatsu Station (Kyoto)	傘松駅（かさまつ）
Kasanui Station	笠縫駅（かさぬい）
Kasaoka Station	笠岡駅（かさおか）
Kasashiho Station	笠師保駅（かさしほ）
Kasashima Station	笠島駅（かさしま）
Kase Station (Kumamoto)	加勢駅（かせ）
Kase Station (Aomori)	嘉瀬駅（かせ）
Kaseda Station	笠田駅（かせだ）
Kasei Station	禾生駅（かせい）
Kashiba Station	香芝駅（かしば）
Kashiharajingū-mae Station	橿原神宮前駅（かしはらじんぐうまえ）
Kashiharajingū-nishiguchi Station	橿原神宮西口駅（かしはらじんぐうにしぐち）
Kashii Station	香椎駅（かしい）
Kashiijingū Station	香椎神宮駅（かしいじんぐう）
Kashiikaenmae Station	香椎花園前駅（かしいかえんまえ）
Kashiimiyamae Station	香椎宮前駅（かしいみやまえ）
Kashikojima Station	賢島駅（かしこじま）
Kashima Soccer Stadium Station	鹿島サッカースタジアム駅（かしまサッカースタジアム）
Kashima Station (Osaka)	加島駅（かしま）
Kashima Station (Fukushima)	鹿島駅（かしま）
Kashima-Asahi Station	鹿島旭駅（かしまあさひ）
Kashimada Station	鹿島田駅（かしまだ）
Kashimadai Station	鹿島台駅（かしまだい）
Kashimajingū Station	鹿島神宮駅（かしまじんぐう）
Kashimanada Station	鹿島灘駅（かしまなだ）
Kashima-Ōno Station	鹿島大野駅（かしまおおの）
Kashiwa Station	柏駅（かしわ）
Kashiwabara Station	柏原駅 (滋賀県)（かしわばら）
Kashiwadai Station	かしわ台駅（かしわだい）
Kashiwagidaira Station	柏木平駅（かしわぎだいら）
Kashiwamori Station	柏森駅（かしわもり）
Kashiwanoha Campus Station	柏の葉キャンパス駅（かしわのはきゃんぱす）
Kashiwara Station	柏原駅 (大阪府)（かしわら）
Kashiwara-minamiguchi Station	柏原南口駅（かしわらみなみぐち）
Kashiwa-Tanaka Station	柏たなか駅（かしわたなか）
Kashiwazaki Station	柏崎駅（かしわざき）
Kashiyama Station	樫山駅（かしやま）
Kasose Station	風合瀬駅（かそせ）
Kassemba Station	合戦場駅（かっせんば）
Kasubuchi Station	粕淵駅（かすぶち）
Kasuga Station (Fukuoka)	春日駅 (福岡県)（かすが）
Kasuga Station (Tokyo)	春日駅 (東京都)（かすが）
Kasugabaru Station	春日原駅（かすがばる）
Kasugachō Station	春日町駅（かすがちょう）
Kasugagawa Station	春日川駅（かすががわ）
Kasugai Station (JR Central)	春日井駅 (JR東海)（かすがい）
Kasugai Station (Meitetsu)	春日井駅 (名鉄)（かすがい）
Kasugaichō Station	春日居町駅（かすがいちょう）
Kasuganomichi Station (Hankyu)	春日野道駅 (阪急)（かすがのみち）
Kasuganomichi Station (Hanshin)	春日野道駅 (阪神)（かすがのみち）
Kasugayama Station	春日山駅（かすがやま）
Kasukabe Station	春日部駅（かすかべ）
Kasukawa Station	粕川駅（かすかわ）
Kasumi Station	香住駅（かすみ）
Kasumigaoka Station (Hyogo)	霞ヶ丘駅 (兵庫県)（かすみがおか）
Kasumigaoka Station (Nara)	霞ヶ丘駅 (奈良県)（かすみがおか）
Kasumigaseki Station (Saitama)	霞ヶ関駅 (埼玉県)（かすみがせき）
Kasumigaseki Station (Tokyo)	霞ヶ関駅 (東京都)（かすみがせき）
Kasumigaura Station	霞ヶ浦駅（かすみがうら）
Kasumori Station	烏森駅（かすもり）
Kata Station	賀田駅（かた）
Katabiranotsuji Station	帷子ノ辻駅（かたびらのつじ）
Katahama Station	片浜駅（かたはま）
Katahara Station	形原駅（かたはら）
Kataharamachi Station (Kagawa)	片原町駅 (香川県)（かたはらまち）
Kataharamachi Station (Toyama)	片原町駅 (富山県)（かたはらまち）
Katakai Station	片貝駅（かたかい）
Katakura Station	片倉駅（かたくら）
Katakurachō Station	片倉町駅（かたくらちょう）
Katamachi Station	潟町駅（かたまち）
Katamoto Station	潟元駅（かたもと）
Katano Station	片野駅（かたの）
Katanoshi Station	交野市駅（かたのし）
Kataoka Station	片岡駅（かたおか）
Katase-Enoshima Station	片瀬江ノ島駅（かたせえのしま）
Katase-Shirata Station	片瀬白田駅（かたせしらた）
Kataseyama Station	片瀬山駅（かたせやま）
Katashimo Station	堅下駅（かたしも）
Katata Station	堅田駅（かたた）
Katei Saibansho-mae Station	家庭裁判所前駅（かていさいばんしょまえ）
Kato Station	加斗駅（かと）
Katori Station	香取駅（かとり）
Katsuma Station	勝間駅（かつま）
Katsumada Station	勝間田駅（かつまだ）
Katsuno Station	勝野駅（かつの）
Katsunuma-budōkyō Station	勝沼ぶどう郷駅（かつぬまぶどうきょう）
Katsura Station	桂駅（かつら）
Katsuradai Station	桂台駅（かつらだい）
Katsuragawa Station (Hokkaidō)	桂川駅 (北海道)（かつらがわ）
Katsuragawa Station (Kyoto)	桂川駅 (京都府)（かつらがわ）
Katsurane Station	桂根駅（かつらね）
Katsuraoka Station	桂岡駅（かつらおか）
Katsurase Station	桂瀬駅（かつらせ）
Katsuta Station	勝田駅（かつた）
Katsutadai Station	勝田台駅（かつただい）
Katsuura Station	勝浦駅（かつうら）
Katsuyama Station	勝山駅（かつやま）
Katsuyamachō Station	勝山町駅（かつやまちょう）
Kawabata Station	川端駅（かわばた）
Kawabe Station (Aomori)	川部駅（かわべ）
Kawabe Station (Akita)	川辺駅（かわべ）
Kawabejuku Station	川辺宿駅（かわべじゅく）
Kawabenomori Station	河辺の森駅（かわべのもり）
Kawabeoki Station	川辺沖駅（かわべおき）
Kawachi-Amami Station	河内天美駅（かわちあまみ）
Kawachi-Eiwa Station	河内永和駅（かわちえいわ）
Kawachi-Hanazono Station	河内花園駅（かわちはなぞの）
Kawachi-Iwafune Station	河内磐船駅（かわちいわふね）
Kawachi-Katakami Station	河内堅上駅（かわちかたかみ）
Kawachi-Kokubu Station	河内国分駅（かわちこくぶ）
Kawachi-Kosaka Station	河内小阪駅（かわちこさか）
Kawachi-Matsubara Station	河内松原駅（かわちまつばら）
Kawachi-Mori Station	河内森駅（かわちもり）
Kawachinagano Station	河内長野駅（かわちながの）
Kawachi-Yamamoto Station	河内山本駅（かわちやまもと）
Kawado Station	川戸駅（かわど）
Kawage Station	河芸駅（かわげ）
Kawageta Station	川桁駅（かわげた）
Kawagishi Station	川岸駅（かわぎし）
Kawagoe Station	川越駅（かわごえ）
Kawagoeshi Station	川越市駅（かわごえし）
Kawagoe Tomisuhara Station	川越富洲原駅（かわごえとみすはら）
Kawaguchi Station	川口駅（かわぐち）
Kawaguchiko Station	河口湖駅（かわぐちこ）
Kawaguchi-Motogō Station	川口元郷駅（かわぐちもとごう）
Kawahara Station	河原駅（かわはら）
Kawahigashi Station (Fukushima)	川東駅 (福島県)（かわひがし）
Kawahigashi Station (Saga)	川東駅 (佐賀県)（かわひがし）
Kawahira Station	川平駅（かわひら）
Kawai Station (Ibaraki)	河合駅（かわい）
Kawai Station (Tokyo)	川井駅（かわい）
Kawainishi Station	河合西駅（かわいにし）
Kawai-Takaoka Station	川合高岡駅（かわいたかおか）
Kawaji Station	川路駅（かわじ）
Kawajionsen Station	川治温泉駅（かわじおんせん）
Kawaji-Yumoto Station	川治湯元駅（かわじゆもと）
Kawakado Station	川角駅（かわかど）
Kawake Station	河毛駅（かわけ）
Kawakura Station	川倉駅（かわくら）
Kawama Station	川間駅（かわま）
Kawamae Station	川前駅（かわまえ）
Kawamata Station	川俣駅（かわまた）
Kawaminami Station	川南駅（かわみなみ）
Kawamiya Station	川宮駅（かわみや）
Kawamura Station (Aichi)	川村駅 (愛知県)（かわむら）
Kawamura Station (Kumamoto)	川村駅 (熊本県)（かわむら）
Kawana Station (Shizuoka)	川奈駅（かわな）
Kawana Station (Aichi)	川名駅（かわな）
Kawanakajima Station	川中島駅（かわなかじま）
Kawane-Koyama Station	川根小山駅（かわねこやま）
Kawaneonsen-Sasamado Station	川根温泉笹間渡駅（かわねおんせんささまど）
Kawane-Ryōgoku Station	川根両国駅（かわねりょうごく）
Kawanishi Station (Osaka)	川西駅 (大阪府)（かわにし）
Kawanishi Station (Yamaguchi)	川西駅 (山口県)（かわにし）
Kawanishi-Ikeda Station	川西池田駅（かわにしいけだ）
Kawanishi-noseguchi Station	川西能勢口駅（かわにしのせぐち）
Kawano Station	河曲駅（かわの）
Kawanoe Station	川之江駅（かわのえ）
Kawara Station	香春駅（かわら）
